medal_type,name,gender,country_code,country,nationality_code,nationality,event,birth_date
Gold Medal,SHACKELL Alex,Female,USA,United States,USA,United States,Women's 4 x 100m Medley Relay,2006-11-13
Gold Medal,DOUGLASS Kate,Female,USA,United States,USA,United States,Women's 4 x 100m Medley Relay,2001-11-17
Gold Medal,HUSKE Torri,Female,USA,United States,USA,United States,Women's 4 x 100m Medley Relay,2002-12-07
Gold Medal,KING Lilly,Female,USA,United States,USA,United States,Women's 4 x 100m Medley Relay,1997-02-10
Gold Medal,SMITH Regan,Female,USA,United States,USA,United States,Women's 4 x 100m Medley Relay,2002-02-09
Gold Medal,WALSH Gretchen,Female,USA,United States,USA,United States,Women's 4 x 100m Medley Relay,2003-01-29
Silver Medal,ANDERSON Iona,Female,AUS,Australia,AUS,Australia,Women's 4 x 100m Medley Relay,2005-10-03
Silver Medal,RAMSAY Ella,Female,AUS,Australia,AUS,Australia,Women's 4 x 100m Medley Relay,2004-07-12
Silver Medal,PERKINS Alexandria,Female,AUS,Australia,AUS,Australia,Women's 4 x 100m Medley Relay,2000-07-27
Silver Medal,HARRIS Meg,Female,AUS,Australia,AUS,Australia,Women's 4 x 100m Medley Relay,2002-03-07
Silver Medal,McKEON Emma,Female,AUS,Australia,AUS,Australia,Women's 4 x 100m Medley Relay,1994-05-24
Silver Medal,McKEOWN Kaylee,Female,AUS,Australia,AUS,Australia,Women's 4 x 100m Medley Relay,2001-07-12
Silver Medal,O'CALLAGHAN Mollie,Female,AUS,Australia,AUS,Australia,Women's 4 x 100m Medley Relay,2004-04-02
Silver Medal,STRAUCH Jenna,Female,AUS,Australia,AUS,Australia,Women's 4 x 100m Medley Relay,1997-03-24
Bronze Medal,WANG Xueer,Female,CHN,China,CHN,China,Women's 4 x 100m Medley Relay,1998-01-15
Bronze Medal,TANG Qianting,Female,CHN,China,CHN,China,Women's 4 x 100m Medley Relay,2004-03-14
Bronze Medal,YU Yiting,Female,CHN,China,CHN,China,Women's 4 x 100m Medley Relay,2005-09-05
Bronze Medal,WU Qingfeng,Female,CHN,China,CHN,China,Women's 4 x 100m Medley Relay,2003-01-28
Bronze Medal,WAN Letian,Female,CHN,China,CHN,China,Women's 4 x 100m Medley Relay,2004-08-12
Bronze Medal,YANG Junxuan,Female,CHN,China,CHN,China,Women's 4 x 100m Medley Relay,2002-01-26
Bronze Medal,ZHANG Yufei,Female,CHN,China,CHN,China,Women's 4 x 100m Medley Relay,1998-04-19
Gold Medal,ERRANI Sara,Female,ITA,Italy,ITA,Italy,Women's Doubles,1987-04-29
Gold Medal,PAOLINI Jasmine,Female,ITA,Italy,ITA,Italy,Women's Doubles,1996-01-04
Silver Medal,ANDREEVA Mirra,Female,AIN,AIN,RUS,Russian Federation,Women's Doubles,2007-04-29
Silver Medal,SHNAIDER Diana,Female,AIN,AIN,RUS,Russian Federation,Women's Doubles,2004-04-02
Bronze Medal,BUCSA Cristina,Female,ESP,Spain,ESP,Spain,Women's Doubles,1998-01-01
Bronze Medal,SORRIBES TORMO Sara,Female,ESP,Spain,ESP,Spain,Women's Doubles,1996-10-08
Gold Medal,SLAGTER Arvin,Male,NED,Netherlands,NED,Netherlands,Men,1985-10-19
Gold Medal,de JONG Worthy,Male,NED,Netherlands,NED,Netherlands,Men,1988-03-14
Gold Medal,van der HORST Dimeo,Male,NED,Netherlands,NED,Netherlands,Men,1991-06-23
Gold Medal,DRIESSEN Jan,Male,NED,Netherlands,NED,Netherlands,Men,1996-12-04
Silver Medal,VERGIAT Timothe,Male,FRA,France,FRA,France,Men,1998-03-07
Silver Medal,SEGUELA Franck,Male,FRA,France,FRA,France,Men,1997-05-30
Silver Medal,DUSSOULIER Lucas,Male,FRA,France,FRA,France,Men,1996-07-27
Silver Medal,RAMBAUT Jules,Male,FRA,France,FRA,France,Men,1998-04-06
Bronze Medal,DZIAUGYS Evaldas,Male,LTU,Lithuania,LTU,Lithuania,Men,1996-09-26
Bronze Medal,MATULIS Gintautas,Male,LTU,Lithuania,LTU,Lithuania,Men,1986-12-06
Bronze Medal,PUKELIS Aurelijus,Male,LTU,Lithuania,LTU,Lithuania,Men,1994-05-17
Bronze Medal,VINGELIS Sarunas,Male,LTU,Lithuania,LTU,Lithuania,Men,1989-11-16
Gold Medal,BRUNCKHORST Svenja,Female,GER,Germany,GER,Germany,Women,1991-10-19
Gold Medal,GREINACHER Sonja,Female,GER,Germany,GER,Germany,Women,1992-07-01
Gold Medal,REICHERT Marie,Female,GER,Germany,GER,Germany,Women,2001-04-16
Gold Medal,MEVIUS Elisa,Female,GER,Germany,GER,Germany,Women,2004-04-23
Silver Medal,ALONSO Gracia,Female,ESP,Spain,ESP,Spain,Women,1992-08-11
Silver Medal,YGUERAVIDE Sandra,Female,ESP,Spain,ESP,Spain,Women,1984-12-28
Silver Medal,GIMENO Vega,Female,ESP,Spain,ESP,Spain,Women,1991-01-08
Silver Medal,CAMILION Juana,Female,ESP,Spain,ESP,Spain,Women,1999-03-22
Bronze Medal,HAMBY Dearica,Female,USA,United States,USA,United States,Women,1993-11-06
Bronze Medal,BURDICK Cierra,Female,USA,United States,USA,United States,Women,1993-09-30
Bronze Medal,van LITH Hailey,Female,USA,United States,USA,United States,Women,2001-09-09
Bronze Medal,HOWARD Rhyne,Female,USA,United States,USA,United States,Women,2000-04-29
Gold Medal,MARCHANT Katy,Female,GBR,Great Britain,GBR,Great Britain,Women's Team Sprint,1993-01-30
Gold Medal,FINUCANE Emma,Female,GBR,Great Britain,GBR,Great Britain,Women's Team Sprint,2002-12-22
Gold Medal,CAPEWELL Sophie,Female,GBR,Great Britain,GBR,Great Britain,Women's Team Sprint,1998-09-04
Gold Medal,THOMAS Lowri,Female,GBR,Great Britain,GBR,Great Britain,Women's Team Sprint,1999-03-03
Silver Medal,ANDREWS Ellesse,Female,NZL,New Zealand,NZL,New Zealand,Women's Team Sprint,1999-12-31
Silver Medal,PETCH Rebecca,Female,NZL,New Zealand,NZL,New Zealand,Women's Team Sprint,1998-07-09
Silver Medal,FULTON Shaane,Female,NZL,New Zealand,NZL,New Zealand,Women's Team Sprint,2000-10-03
Silver Medal,KING Olivia,Female,NZL,New Zealand,NZL,New Zealand,Women's Team Sprint,2001-01-25
Bronze Medal,HINZE Emma,Female,GER,Germany,GER,Germany,Women's Team Sprint,1997-09-17
Bronze Medal,FRIEDRICH Lea,Female,GER,Germany,GER,Germany,Women's Team Sprint,2000-01-07
Bronze Medal,GRABOSCH Pauline,Female,GER,Germany,GER,Germany,Women's Team Sprint,1998-01-14
Bronze Medal,PROEPSTER Alessa,Female,GER,Germany,GER,Germany,Women's Team Sprint,2001-03-04
Gold Medal,BACOSI Diana,Female,ITA,Italy,ITA,Italy,Skeet Mixed Team,1983-07-13
Gold Medal,ROSSETTI Gabriele,Male,ITA,Italy,ITA,Italy,Skeet Mixed Team,1995-03-07
Silver Medal,SMITH Austen Jewell,Female,USA,United States,USA,United States,Skeet Mixed Team,2001-07-23
Silver Medal,HANCOCK Vincent,Male,USA,United States,USA,United States,Skeet Mixed Team,1989-03-19
Bronze Medal,JIANG Yiting,Female,CHN,China,CHN,China,Skeet Mixed Team,2004-08-01
Bronze Medal,LYU Jianlin,Male,CHN,China,CHN,China,Skeet Mixed Team,1996-07-26
Gold Medal,HELLWIG Tim,Male,GER,Germany,GER,Germany,Mixed Relay,1999-06-30
Gold Medal,TERTSCH Lisa,Female,GER,Germany,GER,Germany,Mixed Relay,1998-12-01
Gold Medal,LUEHRS Lasse,Male,GER,Germany,GER,Germany,Mixed Relay,1996-05-16
Gold Medal,LINDEMANN Laura,Female,GER,Germany,GER,Germany,Mixed Relay,1996-06-26
Silver Medal,RIDER Seth,Male,USA,United States,USA,United States,Mixed Relay,1997-03-06
Silver Medal,SPIVEY Taylor,Female,USA,United States,USA,United States,Mixed Relay,1991-04-13
Silver Medal,PEARSON Morgan,Male,USA,United States,USA,United States,Mixed Relay,1993-09-22
Silver Medal,KNIBB Taylor,Female,USA,United States,USA,United States,Mixed Relay,1998-02-14
Bronze Medal,YEE Alex,Male,GBR,Great Britain,GBR,Great Britain,Mixed Relay,1998-02-18
Bronze Medal,TAYLOR-BROWN Georgia,Female,GBR,Great Britain,GBR,Great Britain,Mixed Relay,1994-03-15
Bronze Medal,DICKINSON Samuel,Male,GBR,Great Britain,GBR,Great Britain,Mixed Relay,1997-07-11
Bronze Medal,POTTER Beth,Female,GBR,Great Britain,GBR,Great Britain,Mixed Relay,1991-12-27
Gold Medal,van den BERG Roy,Male,NED,Netherlands,NED,Netherlands,Men's Team Sprint,1988-09-08
Gold Medal,LAVREYSEN Harrie,Male,NED,Netherlands,NED,Netherlands,Men's Team Sprint,1997-03-14
Gold Medal,HOOGLAND Jeffrey,Male,NED,Netherlands,NED,Netherlands,Men's Team Sprint,1993-03-16
Gold Medal,van LOON Tijmen,Male,NED,Netherlands,NED,Netherlands,Men's Team Sprint,2001-03-20
Silver Medal,CARLIN Jack,Male,GBR,Great Britain,GBR,Great Britain,Men's Team Sprint,1997-04-23
Silver Medal,TURNBULL Hamish,Male,GBR,Great Britain,GBR,Great Britain,Men's Team Sprint,1999-07-13
Silver Medal,LOWE Ed,Male,GBR,Great Britain,GBR,Great Britain,Men's Team Sprint,2003-08-24
Silver Medal,TRUMAN Joseph,Male,GBR,Great Britain,GBR,Great Britain,Men's Team Sprint,1997-02-14
Bronze Medal,GLAETZER Matthew,Male,AUS,Australia,AUS,Australia,Men's Team Sprint,1992-08-24
Bronze Medal,RICHARDSON Matthew,Male,AUS,Australia,AUS,Australia,Men's Team Sprint,1999-04-17
Bronze Medal,HOFFMAN Leigh,Male,AUS,Australia,AUS,Australia,Men's Team Sprint,2000-06-11
Bronze Medal,CORNISH Thomas,Male,AUS,Australia,AUS,Australia,Men's Team Sprint,2000-02-15
Gold Medal,CHANG Hao,Female,CHN,China,CHN,China,Team,1997-04-28
Gold Medal,FENG Yu,Female,CHN,China,CHN,China,Team,1999-09-30
Gold Medal,WANG Qianyi,Female,CHN,China,CHN,China,Team,1997-01-16
Gold Medal,WANG Ciyue,Female,CHN,China,CHN,China,Team,1999-11-14
Gold Medal,WANG Liuyi,Female,CHN,China,CHN,China,Team,1997-01-16
Gold Medal,XIANG Binxuan,Female,CHN,China,CHN,China,Team,2001-11-16
Gold Medal,XIAO Yanning,Female,CHN,China,CHN,China,Team,1998-02-23
Gold Medal,ZHANG Yayi,Female,CHN,China,CHN,China,Team,1997-05-06
Gold Medal,CHENG Wentao,Female,CHN,China,CHN,China,Team,1998-05-18
Silver Medal,ALVAREZ Anita,Female,USA,United States,USA,United States,Team,1996-12-02
Silver Medal,CZARKOWSKI Jaime,Female,USA,United States,USA,United States,Team,2003-12-05
Silver Medal,FIELD Megumi,Female,USA,United States,USA,United States,Team,2005-10-15
Silver Medal,HUNTER Keana,Female,USA,United States,USA,United States,Team,2004-03-04
Silver Medal,KWON Audrey,Female,USA,United States,USA,United States,Team,2006-06-16
Silver Medal,LUU Jacklyn,Female,USA,United States,USA,United States,Team,1999-04-30
Silver Medal,RAMIREZ Daniella,Female,USA,United States,USA,United States,Team,2001-10-06
Silver Medal,REMATI Ruby,Female,USA,United States,USA,United States,Team,2002-08-14
Silver Medal,LIU Calista,Female,USA,United States,USA,United States,Team,2005-12-18
Bronze Medal,TIO CASAS Iris,Female,ESP,Spain,ESP,Spain,Team,2002-11-02
Bronze Medal,OZHOGINA OZHOGIN Alisa,Female,ESP,Spain,ESP,Spain,Team,2000-10-31
Bronze Medal,MAS PUJADAS Meritxell,Female,ESP,Spain,ESP,Spain,Team,1994-12-25
Bronze Medal,TOLEDANO LAUT Blanca,Female,ESP,Spain,ESP,Spain,Team,2000-11-03
Bronze Medal,RAMIREZ IBANEZ Paula,Female,ESP,Spain,ESP,Spain,Team,1996-04-23
Bronze Medal,LLUIS VALETTE Lilou,Female,ESP,Spain,ESP,Spain,Team,2006-07-28
Bronze Medal,GARCIA POLO Marina,Female,ESP,Spain,ESP,Spain,Team,2004-12-05
Bronze Medal,FERRE GASET Txell,Female,ESP,Spain,ESP,Spain,Team,2006-11-10
Bronze Medal,SALDANA LOPEZ Sara,Female,ESP,Spain,ESP,Spain,Team,2000-07-25
Gold Medal,MARTIN Alvaro,Male,ESP,Spain,ESP,Spain,Marathon Race Walk Relay Mixed,1994-06-18
Gold Medal,PEREZ Maria,Female,ESP,Spain,ESP,Spain,Marathon Race Walk Relay Mixed,1996-04-29
Silver Medal,PINTADO Brian Daniel,Male,ECU,Ecuador,ECU,Ecuador,Marathon Race Walk Relay Mixed,1995-07-29
Silver Medal,MOREJON Glenda,Female,ECU,Ecuador,ECU,Ecuador,Marathon Race Walk Relay Mixed,2000-05-30
Bronze Medal,COWLEY Rhydian,Male,AUS,Australia,AUS,Australia,Marathon Race Walk Relay Mixed,1991-01-04
Bronze Medal,MONTAG Jemima,Female,AUS,Australia,AUS,Australia,Marathon Race Walk Relay Mixed,1998-02-15
Gold Medal,BLEDDYN Oliver,Male,AUS,Australia,AUS,Australia,Men's Team Pursuit,2002-01-27
Gold Medal,O'BRIEN Kelland,Male,AUS,Australia,AUS,Australia,Men's Team Pursuit,1998-05-22
Gold Medal,WELSFORD Sam,Male,AUS,Australia,AUS,Australia,Men's Team Pursuit,1996-01-19
Gold Medal,LEAHY Conor,Male,AUS,Australia,AUS,Australia,Men's Team Pursuit,1999-04-16
Gold Medal,MORIARTY James,Male,AUS,Australia,AUS,Australia,Men's Team Pursuit,2001-06-07
Silver Medal,VERNON Ethan,Male,GBR,Great Britain,GBR,Great Britain,Men's Team Pursuit,2000-08-26
Silver Medal,WOOD Oliver,Male,GBR,Great Britain,GBR,Great Britain,Men's Team Pursuit,1995-11-26
Silver Medal,BIGHAM Daniel,Male,GBR,Great Britain,GBR,Great Britain,Men's Team Pursuit,1991-10-02
Silver Medal,TANFIELD Charlie,Male,GBR,Great Britain,GBR,Great Britain,Men's Team Pursuit,1996-11-17
Silver Medal,HAYTER Ethan,Male,GBR,Great Britain,GBR,Great Britain,Men's Team Pursuit,1998-09-18
Silver Medal,STEWART Mark,Male,GBR,Great Britain,GBR,Great Britain,Men's Team Pursuit,1995-08-25
Bronze Medal,CONSONNI Simone,Male,ITA,Italy,ITA,Italy,Men's Team Pursuit,1994-09-12
Bronze Medal,GANNA Filippo,Male,ITA,Italy,ITA,Italy,Men's Team Pursuit,1996-07-25
Bronze Medal,LAMON Francesco,Male,ITA,Italy,ITA,Italy,Men's Team Pursuit,1994-02-05
Bronze Medal,MILAN Jonathan,Male,ITA,Italy,ITA,Italy,Men's Team Pursuit,2000-10-01
Bronze Medal,MORO Manlio,Male,ITA,Italy,ITA,Italy,Men's Team Pursuit,2002-03-17
Gold Medal,CUMMINS Olivia,Female,USA,United States,USA,United States,Women's Team Pursuit,2003-08-06
Gold Medal,EHRLICH Emily,Female,USA,United States,USA,United States,Women's Team Pursuit,1993-12-25
Gold Medal,FAULKNER Kristen,Female,USA,United States,USA,United States,Women's Team Pursuit,1992-12-18
Gold Medal,VALENTE Jennifer,Female,USA,United States,USA,United States,Women's Team Pursuit,1994-12-24
Gold Medal,WILLIAMS Lily,Female,USA,United States,USA,United States,Women's Team Pursuit,1994-06-24
Gold Medal,DYGERT Chloe,Female,USA,United States,USA,United States,Women's Team Pursuit,1997-01-01
Silver Medal,BOTHA Bryony,Female,NZL,New Zealand,NZL,New Zealand,Women's Team Pursuit,1997-11-04
Silver Medal,WOLLASTON Ally,Female,NZL,New Zealand,NZL,New Zealand,Women's Team Pursuit,2001-01-04
Silver Medal,SHEARMAN Emily,Female,NZL,New Zealand,NZL,New Zealand,Women's Team Pursuit,1999-02-23
Silver Medal,SHIELDS Nicole,Female,NZL,New Zealand,NZL,New Zealand,Women's Team Pursuit,1999-09-09
Silver Medal,DONNELLY Samantha,Female,NZL,New Zealand,NZL,New Zealand,Women's Team Pursuit,2001-12-13
Bronze Medal,EVANS Neah,Female,GBR,Great Britain,GBR,Great Britain,Women's Team Pursuit,1990-08-01
Bronze Medal,BARKER Elinor,Female,GBR,Great Britain,GBR,Great Britain,Women's Team Pursuit,1994-09-07
Bronze Medal,KNIGHT Josie,Female,GBR,Great Britain,GBR,Great Britain,Women's Team Pursuit,1997-03-29
Bronze Medal,MORRIS Anna,Female,GBR,Great Britain,GBR,Great Britain,Women's Team Pursuit,1995-06-13
Bronze Medal,ROBERTS Jessica,Female,GBR,Great Britain,GBR,Great Britain,Women's Team Pursuit,1999-04-11
Bronze Medal,BARKER Megan,Female,GBR,Great Britain,GBR,Great Britain,Women's Team Pursuit,1997-08-15
Gold Medal,LIU Hao,Male,CHN,China,CHN,China,Men's Canoe Double 500m,1993-09-06
Gold Medal,JI Bowen,Male,CHN,China,CHN,China,Men's Canoe Double 500m,2002-02-22
Silver Medal,CASADEI Gabriele,Male,ITA,Italy,ITA,Italy,Men's Canoe Double 500m,2002-08-10
Silver Medal,TACCHINI Carlo,Male,ITA,Italy,ITA,Italy,Men's Canoe Double 500m,1995-01-25
Bronze Medal,MORENO Joan Antoni,Male,ESP,Spain,ESP,Spain,Men's Canoe Double 500m,2000-04-04
Bronze Medal,DOMINGUEZ Diego,Male,ESP,Spain,ESP,Spain,Men's Canoe Double 500m,2003-05-04
Gold Medal,RENDSCHMIDT Max,Male,GER,Germany,GER,Germany,Men's Kayak Four 500m,1993-12-12
Gold Medal,LEMKE Max,Male,GER,Germany,GER,Germany,Men's Kayak Four 500m,1996-12-02
Gold Medal,SCHOPF Jacob,Male,GER,Germany,GER,Germany,Men's Kayak Four 500m,1999-06-08
Gold Medal,LIEBSCHER-LUCZ Tom,Male,GER,Germany,GER,Germany,Men's Kayak Four 500m,1993-08-03
Silver Medal,FITZSIMMONS Riley,Male,AUS,Australia,AUS,Australia,Men's Kayak Four 500m,1996-07-27
Silver Medal,van der WESTHUYZEN Pierre,Male,AUS,Australia,AUS,Australia,Men's Kayak Four 500m,2003-08-18
Silver Medal,COLLINS Jackson,Male,AUS,Australia,AUS,Australia,Men's Kayak Four 500m,1998-11-05
Silver Medal,HAVARD Noah,Male,AUS,Australia,AUS,Australia,Men's Kayak Four 500m,2000-10-11
Bronze Medal,CRAVIOTTO Saul,Male,ESP,Spain,ESP,Spain,Men's Kayak Four 500m,1984-11-03
Bronze Medal,AREVALO Carlos,Male,ESP,Spain,ESP,Spain,Men's Kayak Four 500m,1993-12-06
Bronze Medal,COOPER Marcus,Male,ESP,Spain,ESP,Spain,Men's Kayak Four 500m,1994-10-03
Bronze Medal,GERMADE Rodrigo,Male,ESP,Spain,ESP,Spain,Men's Kayak Four 500m,1990-08-23
Gold Medal,CARRINGTON Lisa,Female,NZL,New Zealand,NZL,New Zealand,Women's Kayak Four 500m,1989-06-23
Gold Medal,HOSKIN Alicia,Female,NZL,New Zealand,NZL,New Zealand,Women's Kayak Four 500m,2000-02-06
Gold Medal,BRETT Olivia,Female,NZL,New Zealand,NZL,New Zealand,Women's Kayak Four 500m,2001-06-18
Gold Medal,VAUGHAN Tara,Female,NZL,New Zealand,NZL,New Zealand,Women's Kayak Four 500m,2003-12-28
Silver Medal,PASZEK Paulina,Female,GER,Germany,GER,Germany,Women's Kayak Four 500m,1997-10-26
Silver Medal,HAKE Jule Marie,Female,GER,Germany,GER,Germany,Women's Kayak Four 500m,1999-09-24
Silver Medal,JAGSCH Pauline,Female,GER,Germany,GER,Germany,Women's Kayak Four 500m,2003-03-13
Silver Medal,BRUESSLER Sarah,Female,GER,Germany,GER,Germany,Women's Kayak Four 500m,1994-04-08
Bronze Medal,PUPP Noemi,Female,HUN,Hungary,HUN,Hungary,Women's Kayak Four 500m,1998-07-28
